english,japanese,pt-BR,sv-SE
Alarm Blessing,早の加護,Bênção do Alarme,Larmvälsignelsen
Barrier Blessing,壁の加護,Bênção da Barreira,Barriärvälsignelsen
Burst Light Blessing,光散の加護,Bênção da Luz Disparade,Ljusbrottsvälsignelsen
Confuse Pin Blessing,混針の加護,Bênção do Pino da Confusão,Förvirringsnålsvälsignelsen
Dancing Light Blessing,光跳の加護,Bênção da Luz Dançante,Dansande ljusvälsignelsen
Darkness Blessing,闇の加護,Bênção das Trevas,Mörkrets välsignelse
Earth Blessing,土の加護,Bênção da Terra,Jordvälsignelsen
Festive Light Blessing,多光跳の加護,Bênção da Luz Festiva,Festlig ljusvälsignelse
Fire Blessing,炎の加護,Bênção do Fogo,Eldvälsignelsen
Gem Blessing,石の加護,Bênção da Gema,Ädelstensvälsignelsen
Gold Blessing,金の加護,Bênção do Ouro,Guldvälsignelsen
Holy Blessing,聖の加護,Bênção do Sagrado,Helgons välsignelse
Hunter Blessing,狩精の加護,Bênção do Caçador,Jägarvälsignelsen
Ice Blessing,氷の加護,Bênção do Gelo,Isvälsignelsen
Lifeforce Blessing,命精の加護,Bênção da Força Vital,Livskraftsvälsignelsen
Lightning Blessing,雷の加護,Bênção da Trovoada,Åskvälsignelsen
Magical Light Blessing,光呪の加護,Bênção da Luz Mágica,Magisk ljusvälsignelse
Ore Blessing,貴石の加護,Bênção do Minério,Malmvälsignelsen
Paper Tiger Blessing,子の加護,Bênção do Papel de Tigre,Pappers tigers välsignelse
Poison Pin Blessing,毒針の加護,Bênção do Pino Venenoso,Giftnålsvälsignelsen
Shield Blessing,盾の加護,Bênção do Escudo,Sköldvälsignelsen
Silent Pin Blessing,黙針の加護,Bênção do Pino Silencioso,Tystnadsnålsvälsignelsen
Six Elements Blessing,の加護,Bênção dos Seis Elementos,De sex elementens välsignelse
Sleipnir Blessing,足馬の加護,Bênção do Sleipnir,Sleipnirs välsignelse
Strongman Blessing,堅者の加護,Bênção do Poderoso,Styrkarlsvälsignelsen
Sword Blessing,剣の加護,Bênção da Espada,Svärdvälsignelsen
Treasure Blessing,宝の加護,Bênção do Tesouro,Skattvälsignelsen
Yggdrasil Blessing,理ぐ大の加護,Bênção da Yggdrasil,Yggdrasils välsignelse
Black Anchor Wrath,重き黒の戒,Ira da Âncora Negra,Svart ankares vrede
Chasm Wrath,亀裂の戒,Ira da Fenda,Klyftans vrede
Cotton Dust Wrath,軽きの戒,Ira da Poeira Algodão,Bomullsdammets vrede
Fetters Wrath,足の戒,Ira das Amarras,Bojornas vrede
Fog Wrath,霧の戒,Ira da Neblina,Dimmans vrede
Manacles Wrath,手の戒,Ira das Algemas,Handbojornas vrede
Masochist Wrath,自虐の戒,Ira do Masoquista,Masochistens vrede
Powerless Cap Wrath,無力な子の戒,Ira da Toca Sem Poder,Maktlösa mössans vrede
Powerless Pigeon Wrath,無力な伝書の戒,Ira da Pomba Sem Poder,Maktlösa duvans vrede
Rust Wrath,の戒,Ira da Ferrugem,Rostens vrede
Sheathed Power Wrath,威をぐの戒,Ira do Poder Embainhado,Den baljförsedda styrkans vrede
Somber Light Wrath,光跳の戒,Ira da Luz Sombria,Dunkel ljusvrede
Soul Wringer Wrath,魂をる力の戒,Ira Esmagadora de Almas,Självridarens vrede
Soul-Carver Wrath,魂をるの戒,Ira do Talhador de Almas,Självskärarens vrede
Stone Hurler Wrath,投石器の戒,Ira do Lançador de Pedras,Slungstenens vrede
Wrath of Bread Alone,命のみ糧とする戒,Ira do Pão Solitário,Enbart bröds vrede
Wrath of Forcefulness,剣をとする戒,Ira da Força Impetuosa,Kraftfullhetens vrede
Achromatic Law,色無しの理,Lei Acromática,Akromatisk lag
Brimstone Law,業炎の理,Lei do Enxofre,Swavellag
Chaos Law,混の理,Lei do Caos,Kaoslag
Dark Night Law,闇夜の理,Lei da Noite Escura,Mörk natt-lag
Desperate Soldier Law,糧なき突撃兵の理,Lei do Soldado Desesperado,Desperat soldats lag
Elusive Air Law,敵をく虚空の理,Lei do Ar Elusivo,Svårfångad lufts lag
Experience Friend Law,経験を供す友の理,Lei da Experiência Amiga,Erfarenhetsvänskapens lag
Experience Pig Law,経験をるの理,Lei do Porco da Experiência,Erfarenhetssvinets lag
Gold Grubber Law,金を食らう虫の理,Lei do Ganancioso,Guldgrävarens lag
Great Shield Law,大盾の理,Lei do Grande Escudo,Storsköldens lag
Holy Light Law,聖光の理,Lei da Luz Sagrada,Helig ljus lag
Iceberg Law,氷塊の理,Lei da Montanha de Gelo,Isbergslag
Law of Consistency,常に常とする理,Lei da Consistência,Konsekvensens lag
Lawbreaker's Law,異法消しの理,Lei do Transgressor,Lagbrytarens lag
Mudbank Law,土の理,Lei do Lodaçal,Lerbankens lag
Secluded Valley Law,谷の理,Lei do Vale Recôndito,Avlägsen dals lag
Sharp Sword Law,鋭剣の理,Lei da Espada Afiada,Vass svärdets lag
Thundercloud Law,雷の理,Lei da Tempestade,Åskmolnslag
Trade Law,法を交わす道の理,Lei da Troca,Byteslag
Transvestal Law,転性の理,Lei da Inversão,Könsskiftets lag
Unprepared Castle Law,備えなき城の理,Lei do Castelo Despreparado,Förberett slotts lag
