english,japanese,pt-BR,sv-SE
Advanced Fury,アドヴァンスフューリアス,Fúria Avançada
Ambrosia,アンブロシア,Ambrosia
Anointed Cloak,アノイントクローク,Manto Ungido
Antique Pendant,ふるびたペンダント,Pingente Antigo
Apothecary's Arcanum,薬士の秘薬,Apotecário Arcano
Archer's Aptitude,弓闘士の知識,Aptidão do Arqueiro
Armor of Aleph,聖鎧アレフストレイン,Armadura de Alepe
Arondight,名剣アロンダイト,Arondito
Bird Poop,とりのふん,Cocô de Passarinho
Bloody Duster,ブラッディダスター,Luvas Sangrentas
Bloody Murder,ブラッディアッシュ,Matador Sangrento
Blue Soul Flame,ブルーソウルフレイム,Chama da Alma Azul
Bonemeal,骨クズ,Ossada
Burgundy Flask,ポルト酒,Frasco Vagabundo
Busted Staff,壊れた杖,Bastão Lascado
Cat Poop,ねこのふん,Cocô de Gato
Charge Break,チャージブレイク,Quebra de Carga
Charm,お守り,Talismã
Chewed-up Shoes,かじった靴,Sapatos Mastigados
Chicken Feed,ひよこのえさ,Alpiste
Claiomh Solais,光剣クラウソナス,Solais Claiomh
Clamshell Chum,貝殻入りのえさ,Isca de Concha de Amêijoa
Claymore,クレイモア,Claimore
Core Emerald,コアエメラルド,Núcleo Esmeralda
Crimson Flame Stone,紅炎の石,Pedra Chama Carmesim
Crystal Chainmail,クリスタルチェイン,Malha Cristal
Dainslef,魔剣ダインスレイヴ,Dainslef
Demon Sword Levantine,魔剣レヴァンテイン,Espada Demoníaca Levantine
Dog Poop,いぬのふん,Cocô de Cão
Double-check,ダブルサーチ,Duplo-Cheque
Dragon Armor,ドラゴンアーマー,Armadura Dragão
Dragon Orb,ドラゴンオーブ,Orbe do Dragão
Dragonlore,竜杖ドラゴンロア,História Dragão
Dwarf Tincture,小人の霊薬,Tintura Anão
Earth Gem,アースジェム,Gema da Terra
Earthproof Talisman,砕土のタリスマン,Talismã à prova de Terra
Earthproof Trinket,砕土の護符,Amuleto à prova de Terra
Eclipse Stone,日食の石,Pedra Eclipse
Elixir,エリクサー,Elíxir
Ether Greaves,エーテルグリーブ,Grevas de Éter
Ether Helm,エーテルヘルム,Elmo de Éter
Evil Eyebrow Ring,魔眼のピアス,Anel da Sobrancelha Malígna
Expert's Experience,識者の経験,Experiência dos Especialístas
Extreme Guard,エクストリームガード,Guarda Extrema
Fairy Tincture,妖精の霊薬,Tintura de Fada
Falchion,ファルシオン,Falquion
Fencer's Familiarity,剣士の知識,Familiaridade do Esgrimista
Fifth Oracle,預言書,Quinto Oráculo
Fireproof Trinket,耐炎の護符,Amuleto Ignífugo
Flare Baselard,フレアバゼラード,Baselarda de Fulgor
Flare Crystal,フレアクリスタル,Cristal de Fulgor
Flare Gem,フレアジェム,Gema Ígnea
Floral Garb,縫衣フローレスガーブ,Manto Floral
Foolproof Talisman,無欠のタリスマン,Talismã Infalível
Foolproof Trinket,無欠の護符,Berloque Infalível
Gandeeva,ガンデーヴァ,Gandeeva
Gauntlet,ガントレット,Manopla
Ghoul Powder,グールパウダー,Pó de Necromante
Gladiolus,グラジオラス,Gladiolo
Goddess Pendant,戦乙女のペンダント,Pingente da Deusa
Goddess Tincture,女神の霊薬,Tintura da Deusa
Golden Egg,金の卵,Ovo Dourado
Guard Potion,ガードポーシヨン,Poção de Guarda
Gungnir,神槍グングニル,Gungnir
Halo Stone,輪光の石,Pedra do Nimbo
Hauteclaire,誓剣オートクレイル,Hauteclaire
Hildr's Sword,狩剣ヒルド,Espada Batalha (Nórdico antigo referência à Valquíria da Batalha Eterna Até o Ragnarok)
Holy Crystal,ホーリィクリスタル,Cristal Sacro
Holy Gem,ホーリィジェム,Gema Sacra
Holy Water of Mithra,ミトラの聖水,Água Benta de Mithra
Honeysuckle Dew,金銀花の露,Orvalho de Madressilva
Hunted Mouse,狩られたネズミ,Rato Caçado
Ice Crystal,アイスクリスタル,Cristal de Gelo
Ice Gem,アイスジェム,Gema de Gelo
Iceproof Talisman,防寒のタリスマン,Talismã Anticongelante
Infinite Admiration,煌鎧インフィネイトアドマイア,Admiração Infinita
Insect Stinger,虫のトゲ,Ferrão de Inseto
Iron Helm,アイアンヘルム,Elmo de Ferro
Key to the Mines,鉱山の鍵,Chave para as Minas
Kraadicator,シルバークラッド,Kraadicador
Kraadmail,クラッドメイル,Kraadmalha
Leather Boots,レザーブーツ,Botas de Couro
Lightningproof Trinket,避雷の護符,Amuleto Antiraio
Lily,リリィ,Lílica
Mace Head,メイスヘッド,Cabeça de Maça
Magic Bangle,マジックバングル,Bracelete Mágico
Map of the East Lands,大陸東部の地図,Mapa das Terras Orientais
Map of the North Lands,大陸北部の地図,Mapa das Terras do Norte
Map of the West Lands,大陸西部の地図,Mapa das Terras Ocidentais
Meat Chops,骨付き肉,Costeletas
Metabolizer,メタボライザー,Metabolizador
Metal Buckler,メタルバックラー,Broquel de Metal
Metal Greaves,メタルグリーブ,Grevas de Metal
Might Potion,マイトポーシヨン,Poção de Força
Mirage Robe,幻衣ミラージュローブ,Vestido Miragem
Misfortunate Bird,不幸な青い鳥,Pássaro Desafortunado
Mithril Crown,ミスリルクラウン,Coroa de Mítril
Mithril Greaves,ミスリルグリーブ,Grevas de Mítril
Mithril Helm,ミスリルヘルム,Elmo de Mítril
Nectar Potion,リキュールポーシヨン,Poção de Néctar
Noble Elixir,ノーブルエリクサー,Elíxir Nobre
Ouroboros Symbol,ウロボロスシンボル,Símbolo Ouroboros
Overdrive,オーバードライブ,Sobrecarga
Pallasch,パラッシュ,Palache
Prime Elixir,プライムエリクサー,Elíxir Primor
Prism Crystal,プリズムクリスタル,Cristal Prisma
Prism Gem,プリズムジェム,Gema Prisma
Reflect Armor,鏡鎧リフレックス,Armadura Refletora
Robe of Bryttain,聖衣ブリタニアガーブ,Veste de Bryttain
Royal Glove,ロイヤルグローブ,Luva Real
Royal Jelly,ロイヤルゼリー,Geléia Real
Sage's Arcanum,賢者の秘薬,Arcano do Sábio
Sallet,サレット,Celada
Screp,スクレップ,Screp
Seafood,海鮮肉,Marisco
Second Oracle,預言書,Segundo Oráculo
Shamshir,シャムシール,Shamshir
Silver Helm,シルバーヘルム,Elmo de Prata
Silver Plate,シルバープレート,Placa de Prata
Silver Scales,シルバースケイル,Escamas de Prata
Sixth Oracle,預言書,Sexto Oráculo
Skull Receptacle,ドクロの器,Receptáculo do Esqueleto
Soft Stone,やわらかな石,Pedra Mole
Solomon's Ring,ソロモンの指輪,Anel de Salomão
Sorcerer's Savvy,魔術師の知識,Saber do Feiticeiro
Spell Potion,スペルポーシヨン,Poção de Magia
Spirit Tincture,精霊の霊薬,TIntura Espírito
Squalid Cloth,ぼろぼろの布,Tecido Sujo
Strength Bow,ストレングスボウ,Arco de Força
Sucked Bone,しやぶった骨,Osso Mastigado
Sun and Moon Stone,陽月の石,Pedra do Sol e da Lua
Sun Shower,名刀五月雨,Chuva de Sol
Supreme Crown,スプリームクラウン,Coroa Suprema
Tailless Lizard,尻尾の切れたトカゲ,Lagarto Sem Cauda
Thief's Thoughts,盗賊の知識,Pensamentos do Ladino
Third Oracle,預言書,Terceiro Oráculo
Thunder Gem,サンダージェム,Gema do Trovão
Tiny Bugs,ちいさな虫,Mosquitinhos
Tiny Flower,ちいさな花,Florzinha
Tome of Alchemy,錬金術の書,Tomo de Alquimia
tri-Emblem,トライエンブレム,tri-Emblema
Unicorn's Horn,聖杖ユニコーンズホーン,Chifre do Unicórnio
Union Plume,ユニオンプラム,Pluma Unificadora
Valiant Greaves,ヴァリアントグリーブ,Grevas Valentes
Valiant Helm,ヴァリアントヘルム,Elmo Valente
Valor Gauntlet,ヴァローガントレット,Braçadeira Valorosa
Valor Greaves,ヴァローグリーブ,Grevas Valorosas
Vegetable Debris,野菜くず,Restos de Vegetais
Wand of Apocalypse,魔杖アポカリプス,Cajado do Apocalipse
Warrior's Arcanum,戦士の秘薬,Arcano do Guerreiro
Warrior's Wits,重戦士の知識,Astúcia do Guerreiro
Water Mirror,水鏡,Espelho D'água
Weeping Lily,スズラン,Lírio Lamentoso
Witch's Arcanum,魔女の秘薬,Arcano do Bruxo
Ymir's Tear,ユミルの涙,Lágrima de Ymir
Philosopher's Stone,賢者の石,Pedra Filosofal
