english,japanese,pt-BR,sv-SE
Fists of Iron,アイアンフィスト,Punhos de Aço,Järnnävar
Mental Boost,マインドバースト,Mente Ativa,Mental boost
Fortify Physique,ハードボディ,Corpo Forte,Härdad kropp
Resist Magic,レジストマジック,Anti-Mágica,Magimotstånd
Adversity,アドヴァーシティ,Prevenção,Motgång
Heroism,ヒロイズム,Herói,Hjältemod
Psychosoma,フェイント,Psicossoma,Psykosoma
Toughness,タフネス,Dureza,Tålighet
Training,トレーニング,Prática,Träning
Observation,オブサベイシヨン,Observação,Observation
Solitary Struggle,ソリタリィストラグル,Luta Solitária,Enskild kamp
Mighty Blow,マイトブロウ,Golpe Potente,Mäktigt slag
Break Up,ブレイクアップ,Ruptura,Bryt upp
Spirit Control,スピリットコントロール,Controle Mental,Andekontroll
Heat Up,ヒートアップ,Aquecer,Hetta upp
Double Edge,ダブルエッジ,Fio Duplo,Dubbelegg
Overload,オーバーロード,Sobrecarga,Överbelastning
Triple Edge,トリプルエッジ,Fio Triplo,Trippelegg
Survival,ガッツ,Sobrevivência,Överlevnad
Reflex Movement,リフレックスムーブメント,Reflexo,Reflexrörelse
Magic Mail,プロテクトマジック,Malha Mágica,Magiskrustning
Cure Condition,キュアコンディシヨン,Cura Estado,Bota tillstånd
Force Field (100),HPリザーブ（100）,Campo Mútuo,Kraftfält (100)
First Aid,ファーストエイド,Primeiros Soc.,Första hjälpen
Free Item,フリーアイテム,Item Grátis,Gratis föremål
Regenerate Health,リジェネレーシヨンヒール,Regenerar Vida,Hälsoförnyelse
Force Field (1000),HPリザーブ（1000）,Campo Mútuo (1000),Kraftfält (1000)
Guard Motion,ガードモーシヨン,Guarda Móvel,Skyddsrörelse
Victorious Vitality,バイタルアジャスメント,Vigor da Vitória,Segervitale
Force Field (5000),HPリザーブ（5000）,Campo Mútuo (5000),Kraftfält (5000)
Reduce Magic,マジックコントロール,Reduzir Magia,Magireduktion
Missile Protection,ミサイルプロテクシヨン,Anti-Projétil,Missilskydd
Mind Lock,ロストエモーシヨン,Mente Fechada,Sinnelås
True Seeing,トゥルーシーイング,Visão Real,Klarsynthet
Beast Bludgeon,ビーストスレイヤー,Mata-Feras,Bestdödaren
Weed Whacker,プラントスレイヤー,Mata-Plantas,Växtdödaren
Bug Swatter,インセクトスレイヤー,Mata-Insetos,Insektsdödaren
Magician Slayer,マジックスレイヤー,Mata-Magos,Magikerdödaren
Unholy Purifier,アンホーリィスレイヤー,Purificador,Ohelga renaren
Descaling Might,スケイルスラッシャer,Quebra-Escamas,Fjällbrytaren
Ghost Buster,ゴーストバスター,Caça-Fantasmas,Spökjägaren
Giant Killer,ジャイアントキラー,Mata-Gigantes,Jättedödaren
Dragon Slayer,ドラゴンスレイヤー,Mata-Dragões,Drakdödaren
God Destroyer,ゴッドスレイヤー,Mata-Deuses,Gudsbrytaren
Demon Destroyer,デーモンスレイヤー,Mata-Demônios,Demonbrytaren
Dismantle,ボディパッセージ,Desmembrar,Nedmontera
Desperate Measures,デスパレーシヨン,Medida Extrema,Desperata åtgärder
Precision Parry,ジャストガード,Aparo Preciso,Precisionsparring
Scramble Attack,スクランブルアタック,Ataque Caótico,Sammanblandningsattack
Counter Attack,カウンターアタック,Contra-Ataque,Kontringsattack
